Query with VIN
"Vehicle VIN: 48296089, Query: How much does the Bimini Top Cost?"
"Vehicle VIN: 61981724, Query: What is the price of the Bimini Top?"
"Vehicle VIN: 97980021, Query: How much does the Mooring Cover cost?"
"Vehicle VIN: 69830599, Query: What is the price of the Mooring Cover?"
"Vehicle VIN: 76998315, Query: How much does the Seat Cover Set cost?"
"Vehicle VIN: 77542776, Query: What is the price of the Seat Cover Set?"
"Vehicle VIN: 64594924, Query: How much does the Bimini Boot cost?"
"Vehicle VIN: 13971125, Query: What is the price of the Bimini Boot?"
"Vehicle VIN: 61084070, Query: How much does the Boat Cover Support Pole cost?"
"Vehicle VIN: 84301575, Query: What is the price of the Snap Fastener Kit?"
"Vehicle VIN: 90324280, Query: How much does the Bilge Pump cost?"
"Vehicle VIN: 69152860, Query: What is the price of the Bilge Pump?"
"Vehicle VIN: 38241353, Query: How much does the Fuse Block cost?"
"Vehicle VIN: 95347445, Query: What is the price of the Fuse Block?"
"Vehicle VIN: 23535033, Query: How much do the Navigation Lights cost?"
"Vehicle VIN: 25728344, Query: What is the price of the Navigation Lights?"
"Vehicle VIN: 31448407, Query: How much do the Docking Lights cost?"
"Vehicle VIN: 40647828, Query: What is the price of the Docking Lights?"
"Vehicle VIN: 59348352, Query: How much do the Courtesy Lights cost?"
"Vehicle VIN: 46432749, Query: What is the price of the Courtesy Lights?"
"Vehicle VIN: 43748146, Query: How much does the Battery cost?"
"Vehicle VIN: 42921894, Query: What is the price of the Battery?"
"Vehicle VIN: 68171104, Query: How much does the Battery cost?"
"Vehicle VIN: 95417687, Query: What is the price of the Battery Switch?"
"Vehicle VIN: 59278750, Query: How much does the Battery Switch cost?"
"Vehicle VIN: 67986125, Query: What is the price of the Shore Power Inlet?"
"Vehicle VIN: 78958980, Query: How much does the Battery Charger cost?"
"Vehicle VIN: 97436811, Query: What is the price of the Outboard Engine?"
"Vehicle VIN: 97598415, Query: How much does the Outboard Engine cost?"
"Vehicle VIN: 13286231, Query: What is the price of the Propeller?"
"Vehicle VIN: 70360350, Query: How much does the Propeller cost?"
